fuel,date,h,actual,hi,input_status,outcome_known,naive,full_pass,report1_ish,adl,adl_ecm
Regular Petrol,2013-02-01,1,4.0,False,final,True,0.0,3.784926007466719,0.0,2.1963438014191703,2.130047433071288
Regular Petrol,2013-02-01,2,8.0,False,final,True,0.0,6.832971380359075,0.0,3.282149659146812,3.7068919029923877
Regular Petrol,2013-02-01,3,9.285714285713993,False,final,True,0.0,5.1577855564921276,0.0,3.7009708317067953,4.872129481285462
Regular Petrol,2013-02-08,1,4.0,False,final,True,0.0,3.7002786425196503,0.9812522063523901,2.8226960369222067,3.135946718455067
Regular Petrol,2013-02-08,2,5.285714285713993,False,final,True,0.0,7.485204649986369,0.9812522063523901,4.009834548999531,5.303463289582968
Regular Petrol,2013-02-08,3,5.285714285713993,False,final,True,0.0,10.533250022878725,0.9812522063523901,4.272565119827803,6.78447992552015
Regular Petrol,2013-02-15,1,1.2857142857139934,False,final,True,0.0,2.5369700008933,1.0047293424232815,2.378760229863328,2.838239791977399
Regular Petrol,2013-02-15,2,1.2857142857139934,False,final,True,0.0,6.23724864341295,1.0047293424232815,3.1807483828964402,4.614686044549951
Regular Petrol,2013-02-15,3,0.42857142857099007,False,final,True,0.0,10.02217465087967,1.0047293424232815,3.2801269472802836,5.831569446889406
Regular Petrol,2013-02-22,1,0.0,False,final,True,0.0,-1.0252160807610124,-1.965226120397557,0.30555929314984853,1.1235724375490448
Regular Petrol,2013-02-22,2,-0.8571428571430033,False,final,True,0.0,1.5117539201322876,-1.965226120397557,0.18159137026236377,1.8525328534503174
Regular Petrol,2013-02-22,3,-2.0,False,final,True,0.0,5.212032562651938,-1.965226120397557,0.023408671363165323,2.548569857181129
Regular Petrol,2013-03-01,1,-0.8571428571430033,False,final,True,0.0,-2.5152606810257927,-1.9282571042758165,-1.2841711338962774,-0.4990720105198693
Regular Petrol,2013-03-01,2,-2.0,False,final,True,0.0,-3.540476761786805,-1.9282571042758165,-1.9707703609265177,-0.6637717422854723
Regular Petrol,2013-03-01,3,-2.8571428571430033,False,final,True,0.0,-1.003506760893505,-1.9282571042758165,-2.2087690220874987,-0.5045614372506155
