week_date,target_week,fuel,h,input_status,outcome_known,price_now,actual_price,pred_naive,pred_adl,pred_adl_ecm,err_naive,err_adl,err_adl_ecm
2013-02-01,2013-02-08,Regular Petrol,1,final,True,205.9365,209.9365,205.9365,208.1329,208.0666,-4.0,-1.8037,-1.87
2013-02-01,2013-02-15,Regular Petrol,2,final,True,205.9365,213.9365,205.9365,209.2187,209.6434,-8.0,-4.7179,-4.2931
2013-02-01,2013-02-22,Regular Petrol,3,final,True,205.9365,215.2222,205.9365,209.6375,210.8086,-9.2857,-5.5847,-4.4136
2013-02-08,2013-02-15,Regular Petrol,1,final,True,209.9365,213.9365,209.9365,212.7592,213.0725,-4.0,-1.1773,-0.8641
2013-02-08,2013-02-22,Regular Petrol,2,final,True,209.9365,215.2222,209.9365,213.9463,215.24,-5.2857,-1.2759,0.0177
2013-02-08,2013-03-01,Regular Petrol,3,final,True,209.9365,215.2222,209.9365,214.2091,216.721,-5.2857,-1.0131,1.4988
2013-02-15,2013-02-22,Regular Petrol,1,final,True,213.9365,215.2222,213.9365,216.3153,216.7747,-1.2857,1.093,1.5525
2013-02-15,2013-03-01,Regular Petrol,2,final,True,213.9365,215.2222,213.9365,217.1173,218.5512,-1.2857,1.895,3.329
2013-02-15,2013-03-08,Regular Petrol,3,final,True,213.9365,214.3651,213.9365,217.2166,219.7681,-0.4286,2.8516,5.403
2013-02-22,2013-03-01,Regular Petrol,1,final,True,215.2222,215.2222,215.2222,215.5278,216.3458,0.0,0.3056,1.1236
2013-02-22,2013-03-08,Regular Petrol,2,final,True,215.2222,214.3651,215.2222,215.4038,217.0748,0.8571,1.0387,2.7097
2013-02-22,2013-03-15,Regular Petrol,3,final,True,215.2222,213.2222,215.2222,215.2456,217.7708,2.0,2.0234,4.5486
2013-03-01,2013-03-08,Regular Petrol,1,final,True,215.2222,214.3651,215.2222,213.9381,214.7232,0.8571,-0.427,0.3581
2013-03-01,2013-03-15,Regular Petrol,2,final,True,215.2222,213.2222,215.2222,213.2515,214.5585,2.0,0.0292,1.3362
2013-03-01,2013-03-22,Regular Petrol,3,final,True,215.2222,212.3651,215.2222,213.0135,214.7177,2.8571,0.6484,2.3526
2013-03-08,2013-03-15,Regular Petrol,1,final,True,214.3651,213.2222,214.3651,212.4105,212.8748,1.1429,-0.8117,-0.3474
2013-03-08,2013-03-22,Regular Petrol,2,final,True,214.3651,212.3651,214.3651,211.5961,212.1019,2.0,-0.769,-0.2631
2013-03-08,2013-03-29,Regular Petrol,3,final,True,214.3651,211.2222,214.3651,211.4403,211.8255,3.1429,0.2181,0.6033
2013-03-15,2013-03-22,Regular Petrol,1,final,True,213.2222,212.3651,213.2222,212.2107,211.9066,0.8571,-0.1544,-0.4585
2013-03-15,2013-03-29,Regular Petrol,2,final,True,213.2222,211.2222,213.2222,211.9642,211.1433,2.0,0.742,-0.0789
2013-03-15,2013-04-05,Regular Petrol,3,final,True,213.2222,210.4407,213.2222,212.0353,210.661,2.7816,1.5947,0.2203
2013-03-22,2013-03-29,Regular Petrol,1,final,True,212.3651,211.2222,212.3651,211.7465,211.5545,1.1429,0.5243,0.3323
2013-03-22,2013-04-05,Regular Petrol,2,final,True,212.3651,210.4407,212.3651,211.6471,211.1373,1.9244,1.2065,0.6967
2013-03-22,2013-04-12,Regular Petrol,3,final,True,212.3651,206.1549,212.3651,211.7272,210.8546,6.2101,5.5723,4.6996
2013-03-29,2013-04-05,Regular Petrol,1,final,True,211.2222,210.4407,211.2222,210.1409,210.2303,0.7816,-0.2997,-0.2104
2013-03-29,2013-04-12,Regular Petrol,2,final,True,211.2222,206.1549,211.2222,209.7754,209.681,5.0673,3.6204,3.526
2013-03-29,2013-04-19,Regular Petrol,3,final,True,211.2222,201.0121,211.2222,209.714,209.3128,10.2101,8.7019,8.3007
2013-04-05,2013-04-12,Regular Petrol,1,final,True,210.4407,206.1549,210.4407,209.6147,209.3987,4.2857,3.4597,3.2438
2013-04-05,2013-04-19,Regular Petrol,2,final,True,210.4407,201.0121,210.4407,209.3459,208.6824,9.4286,8.3338,7.6703
2013-04-05,2013-04-26,Regular Petrol,3,final,True,210.4407,199.7264,210.4407,209.3525,208.1237,10.7143,9.6262,8.3973
2013-04-12,2013-04-19,Regular Petrol,1,final,True,206.1549,201.0121,206.1549,202.2843,203.2048,5.1429,1.2722,2.1927
2013-04-12,2013-04-26,Regular Petrol,2,final,True,206.1549,199.7264,206.1549,200.6127,201.4977,6.4286,0.8863,1.7714
2013-04-12,2013-05-03,Regular Petrol,3,final,True,206.1549,199.7264,206.1549,200.1573,200.6012,6.4286,0.431,0.8748
2013-04-19,2013-04-26,Regular Petrol,1,final,True,201.0121,199.7264,201.0121,197.752,197.5284,1.2857,-1.9744,-2.198
2013-04-19,2013-05-03,Regular Petrol,2,final,True,201.0121,199.7264,201.0121,196.5534,195.3331,1.2857,-3.1729,-4.3932
2013-04-19,2013-05-10,Regular Petrol,3,final,True,201.0121,199.7264,201.0121,196.3438,193.8269,1.2857,-3.3826,-5.8995
2013-04-26,2013-05-03,Regular Petrol,1,final,True,199.7264,199.7264,199.7264,199.567,198.5764,0.0,-0.1594,-1.1499
2013-04-26,2013-05-10,Regular Petrol,2,final,True,199.7264,199.7264,199.7264,199.8307,197.7849,0.0,0.1043,-1.9415
2013-04-26,2013-05-17,Regular Petrol,3,final,True,199.7264,201.4407,199.7264,200.227,197.1331,-1.7143,-1.2136,-4.3075
2013-05-03,2013-05-10,Regular Petrol,1,final,True,199.7264,199.7264,199.7264,199.5336,199.5072,0.0,-0.1928,-0.2192
2013-05-03,2013-05-17,Regular Petrol,2,final,True,199.7264,201.4407,199.7264,199.726,199.5718,-1.7143,-1.7147,-1.8689
2013-05-03,2013-05-24,Regular Petrol,3,final,True,199.7264,203.7264,199.7264,199.8373,199.6007,-4.0,-3.8891,-4.1256
2013-05-10,2013-05-17,Regular Petrol,1,final,True,199.7264,201.4407,199.7264,201.0288,200.2485,-1.7143,-0.4118,-1.1922
2013-05-10,2013-05-24,Regular Petrol,2,final,True,199.7264,203.7264,199.7264,201.6236,200.368,-4.0,-2.1028,-3.3583
2013-05-10,2013-05-31,Regular Petrol,3,final,True,199.7264,205.4407,199.7264,201.813,200.1201,-5.7143,-3.6277,-5.3206
2013-05-17,2013-05-24,Regular Petrol,1,final,True,201.4407,203.7264,201.4407,203.4865,203.0284,-2.2857,-0.2399,-0.698
2013-05-17,2013-05-31,Regular Petrol,2,final,True,201.4407,205.4407,201.4407,204.3148,203.773,-4.0,-1.1258,-1.6677
2013-05-17,2013-06-07,Regular Petrol,3,final,True,201.4407,206.7264,201.4407,204.6305,204.1311,-5.2857,-2.0958,-2.5953
2013-05-24,2013-05-31,Regular Petrol,1,final,True,203.7264,205.4407,203.7264,205.5449,205.4171,-1.7143,0.1042,-0.0235
2013-05-24,2013-06-07,Regular Petrol,2,final,True,203.7264,206.7264,203.7264,206.2996,206.3993,-3.0,-0.4268,-0.3271
2013-05-24,2013-06-14,Regular Petrol,3,final,True,203.7264,210.7264,203.7264,206.4851,207.0167,-7.0,-4.2413,-3.7097
2013-05-31,2013-06-07,Regular Petrol,1,final,True,205.4407,206.7264,205.4407,206.692,206.7122,-1.2857,-0.0344,-0.0142
2013-05-31,2013-06-14,Regular Petrol,2,final,True,205.4407,210.7264,205.4407,207.0882,207.452,-5.2857,-3.6381,-3.2744
2013-05-31,2013-06-21,Regular Petrol,3,final,True,205.4407,210.7264,205.4407,207.1675,207.9352,-5.2857,-3.5589,-2.7912
2013-06-07,2013-06-14,Regular Petrol,1,final,True,206.7264,210.7264,206.7264,208.0183,207.8738,-4.0,-2.7081,-2.8526
2013-06-07,2013-06-21,Regular Petrol,2,final,True,206.7264,210.7264,206.7264,208.4851,208.4679,-4.0,-2.2412,-2.2585
2013-06-07,2013-06-28,Regular Petrol,3,final,True,206.7264,210.7264,206.7264,208.6348,208.8667,-4.0,-2.0916,-1.8597
2013-06-14,2013-06-21,Regular Petrol,1,final,True,210.7264,210.7264,210.7264,212.349,212.21,0.0,1.6226,1.4837
2013-06-14,2013-06-28,Regular Petrol,2,final,True,210.7264,210.7264,210.7264,213.0056,213.1135,0.0,2.2793,2.3872
2013-06-14,2013-07-05,Regular Petrol,3,final,True,210.7264,215.6217,210.7264,213.239,213.7707,-4.8954,-2.3828,-1.8511
2013-06-21,2013-06-28,Regular Petrol,1,final,True,210.7264,210.7264,210.7264,211.4584,211.3178,0.0,0.732,0.5915
2013-06-21,2013-07-05,Regular Petrol,2,final,True,210.7264,215.6217,210.7264,211.7167,211.6387,-4.8954,-3.905,-3.983
2013-06-21,2013-07-12,Regular Petrol,3,final,True,210.7264,220.336,210.7264,211.7617,211.8269,-9.6097,-8.5743,-8.5091
2013-06-28,2013-07-05,Regular Petrol,1,final,True,210.7264,215.6217,210.7264,210.9567,211.0884,-4.8954,-4.665,-4.5334
2013-06-28,2013-07-12,Regular Petrol,2,final,True,210.7264,220.336,210.7264,210.9872,211.3266,-9.6097,-9.3488,-9.0094
2013-06-28,2013-07-19,Regular Petrol,3,final,True,210.7264,222.6217,210.7264,210.9707,211.5236,-11.8954,-11.6511,-11.0981
2013-07-05,2013-07-12,Regular Petrol,1,final,True,215.6217,220.336,215.6217,216.0809,216.1183,-4.7143,-4.2551,-4.2177
2013-07-05,2013-07-19,Regular Petrol,2,final,True,215.6217,222.6217,215.6217,216.2522,216.4342,-7.0,-6.3696,-6.1876
2013-07-05,2013-07-26,Regular Petrol,3,final,True,215.6217,220.336,215.6217,216.3559,216.7281,-4.7143,-3.9801,-3.6079
